Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
1997,1100,1470,74430,..,470,16160,290,126120,3340,..,307850,64220,26490,1870,14420,18970,1160,59170,116630,460,1240,..,190,9120,8490,3070,281330,..,5230,52990,690,210,150,1640,4860,476820,..,170,470,..,51290,3134110,64190,80,2270,3270,4490,4970,17070,27450,..,6300,124790,63650,330,100,14500,24950,106060,5320,1650,830,16770,590,3060,..,750,60620,359070,..,5560,230,5520,872650,4300,..,83760,..,200,..,6550,1290,200,1720,1270,4040,..,56990,2150,819270,261160,292400,118910,35970,..,50970,415520,9200,1172630,14370,132240,6640,30,67520,431640,..,37300,5690,830,8530,16130,380,450,42200,220,13920,8240,..,1420,770,106020,340,10,2470,90,1230,1620,342480,120,9580,..,8520,1670,29900,1290,7250,1970,100,2190,166310,..,27690,3020,620,98650,8990,..,36540,20020,89360,200,4640,2400,4110,27960,74790,344630,50930,..,25390,113610,1489510,510,130,..,50,220070,3210,56310,280,230,38160,..,42270,15730,210,550,289030,450,248600,8340,160,350,..,160,5240,2130,57380,42750,42070,2510,2890,177940,..,760,90,9690,17880,193430,30500,..,10,1110,328240,81440,524190,5543350,5560,100730,90,127590,40840,..,..,11640,2290,13830,356590,135548.4073,884777.026,27490,807300,3507425.904,6115154.812,3884942.662,3817461.034,2588510,6498796.797,2522137.116,2997317.408,3419620,546815.2238,72309.73805,12760770.7,9668880,10143393.3,321602.6225,151394.2572,473603.3123,6552349.23,1180898.01,961220,1132990,97400.27984,9568956.312,148753.8495,2501987.611,1224087.41,774661.8606,766320,9420185.63,6022165.66,..,12499640,91537.90009,1820,11964471.18,288135.8163,120879.4829,939760,939760,492184.4864,491904.5058,492184.4864,6918589.075
1998,1040,1790,74650,..,490,16770,320,132670,3470,..,328620,64670,26490,2360,15490,19250,1270,57260,119410,450,1210,..,200,8670,10760,3680,290590,..,4520,50480,760,220,160,1880,5040,484790,..,230,470,..,52010,3236280,64440,90,2280,3880,5020,4990,18530,27110,..,6610,118920,59710,390,110,16620,24470,110980,5670,1970,610,16240,620,3230,..,730,57270,381110,..,6390,240,4990,865250,6100,..,87130,..,220,..,8290,1360,170,1750,1310,4680,..,57350,2150,836270,262700,290990,91780,38420,..,51500,426370,9720,1130310,14620,135840,7160,30,60940,366570,..,42130,6040,850,8130,16260,390,490,41900,230,14710,7570,..,1630,750,105690,310,..,2370,100,1240,1790,365140,130,8650,..,8550,1760,30630,1240,7910,2020,100,2320,166730,..,27180,3520,670,88700,9840,..,37890,19520,90190,200,5720,2650,4270,26970,74220,318410,55600,..,26500,99540,1487970,510,150,..,50,233900,3600,56210,290,250,37050,..,41400,15500,220,520,296490,390,256220,8610,180,390,..,190,4770,2130,58360,44250,44630,2770,2690,156790,..,1200,90,9920,18660,193690,31840,..,10,1260,309290,83450,526000,5590540,5780,116260,80,129300,45470,..,..,12460,2170,14070,365690,130417.3648,889715.5878,29010,759210,3614768.901,6106797.074,3965876.884,3904974.268,2630710,6497013.657,2520664.039,2956948.215,3412010,515730.804,76239.28316,12752185.92,9750530,10242252.6,329906.5633,160404.9736,490887.2965,6615469.703,1229403.873,1004400,1180520,100768.3553,9695792.716,145777.5618,2525354.466,1228517.995,756091.8919,747950,9549958.671,6077343.945,..,12504580,94864.17574,1840,11948868.36,253366.3547,125748.7976,958190,958190,496215.9085,495925.9061,496215.9085,7024977.657
1999,810,2970,77510,..,510,17610,330,134510,3110,..,333710,63050,26120,2320,15450,20110,1300,54950,115510,410,1340,..,200,8220,10520,3860,300960,..,4430,44320,890,230,190,1910,4790,494280,..,240,490,..,54430,3153660,55400,100,2090,3960,5030,6830,18520,28000,..,6870,111950,56730,390,110,17790,21610,116540,5610,3230,650,15290,680,3180,..,750,56510,374900,..,6030,260,4520,833590,6580,..,87400,..,220,..,8200,1430,190,1740,1380,4750,..,57910,2120,901330,279480,323360,72710,39970,..,52980,433010,9980,1165320,14630,122650,7490,30,66580,401880,..,45740,4790,880,7550,17040,390,400,43220,230,12250,7920,..,1670,790,114450,430,..,2410,100,1300,2200,355180,130,7350,..,8610,1210,32200,1230,8710,1980,90,3120,161450,..,28610,3540,650,87020,9090,..,39700,21980,98770,200,5010,2600,4270,29070,71580,308980,62210,..,29000,84990,1523720,530,150,..,50,239520,3960,40010,310,200,37800,..,40660,14910,230,500,278410,420,278300,9500,180,390,..,190,5310,2150,57260,44530,43870,2540,2520,163790,..,1710,110,9900,19660,192650,37690,..,10,1290,305730,85680,522750,5609020,6780,116490,90,125460,46410,..,..,14060,1760,15820,351070,133013.1875,901624.4616,29220,717330,3731456.086,6140436.449,3920664.526,3854112.388,2613760,6439302.005,2515683.639,2927938.493,3354420,495713.0886,78957.38819,12827141.97,9739860,10245984.09,338950.8555,165850.0063,505382.8918,6553313.975,1222461.414,998710,1172800,106743.6459,9731208.01,152779.4047,2660693.761,1273868.706,783628.4159,775190,9578423.466,6105323.217,..,12554900,97748.28786,1890,12015419.57,237500.7757,128891.2626,1034270,1034270,484131.6707,483821.5915,484131.6707,6918368.995
2000,760,3170,80050,..,520,16200,330,132270,3560,..,339450,63530,27690,2230,15880,21650,1240,52940,117270,450,1420,..,210,8210,13960,4030,313670,..,4720,43420,940,260,220,1960,5210,514220,..,240,290,..,50420,3346530,58340,100,1630,4350,4950,6490,18040,28350,..,7130,123170,52600,370,130,18670,22050,114610,5630,2220,640,14920,690,3560,..,810,55100,373120,..,6080,240,4770,830280,5740,..,94460,..,210,..,9420,1490,150,1660,1470,4990,..,54630,2230,937860,280650,340450,87630,42530,..,57000,436300,10060,1182610,16270,120150,8320,30,71820,456660,..,49840,4670,900,6930,15670,390,430,44720,220,10510,8560,..,1650,710,124360,460,1410,2130,100,1270,2430,379180,130,6710,..,9000,1520,32880,1430,9440,1940,90,3220,162100,..,29450,3770,670,97220,8760,..,34290,25110,98370,210,5280,2830,3520,28630,72100,295770,61660,..,28660,89020,1563850,540,150,..,50,249660,4060,43990,290,330,42120,..,38070,14540,240,490,284660,460,293310,10930,190,390,..,160,5690,1480,53280,43710,44400,2200,2950,164490,..,1270,100,10200,20700,216400,38510,..,10,1300,297380,84730,530890,5775810,5460,123810,90,131520,51210,..,..,15030,1810,13700,355920,141740,939191.7284,28730,709020,3873932.431,6453028.36,4137375.831,4065580.201,2632450,6517629.97,2582853.914,2985406.994,3362380,531222.1559,79670,13129783.55,10118490,10645152.81,355898.8985,169344.5795,525898.1858,6820709.22,1263172.235,1037660,1212710,109513.1779,10144589.98,159640,2732859.348,1331978.699,821627.606,812780,9984947.576,6292115.118,..,12878250,97537.25527,1960,12300359.88,261897.7503,128258.7537,1073460,1073460,497660,497370,497660,7252670.231
2001,730,3230,78650,..,520,15960,350,125260,3600,..,345640,67910,26400,2220,16390,25780,1310,51880,118340,530,1740,..,230,8050,13760,3870,319380,..,4710,46190,970,200,240,2150,5160,506620,..,250,340,..,48430,3529080,58940,110,1570,4240,5420,6490,19200,27470,..,6990,122720,54250,380,150,18980,24250,126700,5870,3400,700,15380,610,4400,..,1040,61090,376730,..,6230,310,3520,847680,6210,..,96610,..,230,..,9810,1570,150,1640,1600,5800,..,56280,2160,953540,302060,354070,97550,44820,..,57950,436570,10080,1170380,16250,117440,7610,30,74390,471530,..,53190,3970,1000,7360,16890,400,450,44450,210,11150,9120,..,1670,680,129460,480,1610,2490,110,1400,2570,378830,150,7020,..,8970,1670,36270,1410,8350,2460,80,3460,167120,..,31620,3930,670,101950,8920,..,34720,28030,99840,220,6220,3390,3610,26540,70480,293630,61380,..,28650,95230,1567170,560,160,..,50,254090,4460,45000,320,440,42030,..,38580,15380,250,510,320540,530,294790,10850,210,420,..,200,6250,1520,52500,45150,44730,2150,3130,173160,..,1180,90,11620,21570,197770,39120,..,10,1300,300550,97200,545260,5748260,4950,125700,90,135800,56720,..,..,16070,1840,13900,393150,149460,991061.7137,30480,721100,3968275.688,6698018.466,4361587.527,4287208.389,2679490,6575471.851,2570427.964,2978224.683,3419490,552890.2011,83770,13202105.99,10428930,10972799.69,364242.8583,178189.0587,543085.4508,7063201.976,1268338.48,1038510,1218620,117013.6689,10464684.49,165480,2820171.789,1398065.756,862871.7389,853580,10299201.31,6256953.465,..,12898070,100742.9409,2230,12343280.22,278708.5179,133489.502,1094910,1094910,542610,542290,542610,7479632.541
2002,1029.999971,3759.99999,82400.00153,..,529.9999714,15689.99958,389.9999857,117470.0012,3119.999886,..,353369.9951,69370.00275,26180.00031,2400.000095,17219.99931,27430.00031,1370.000005,51840.00015,110849.9985,519.9999809,2180.000067,..,239.9999946,8300.000191,14560.00042,4030.00021,317760.0098,..,4619.999886,43599.99847,959.9999785,209.9999934,280.0000012,2210.000038,5130.000114,524349.9756,..,250,400.000006,..,49119.99893,3810060.059,56770.00046,109.9999994,1649.999976,2759.99999,5519.999981,6840.000153,20280.00069,26420.00008,..,7170.000076,118529.9988,53840.00015,400.000006,119.9999973,20879.99916,24170.00008,129440.0024,5940.000057,4630.000114,680.0000072,14949.99981,620.0000048,4570.000172,..,879.9999952,63439.99863,371019.989,..,5960.000038,300.0000119,2960.000038,833380.0049,7429.999828,..,96599.99847,..,239.9999946,..,10470.00027,1629.999995,150.000006,1620.000005,1830.000043,6090.000153,..,55599.99847,2240.00001,985450.0122,305640.0146,369869.9951,91160.00366,43930.00031,..,61080.00183,443470.0012,10250,1206599.976,16870.00084,131059.9976,7420.000076,39.99999911,71199.99695,463000,..,55590.00015,4969.99979,1110.000014,7349.999905,16840.00015,409.9999964,449.9999881,45590.00015,219.9999988,11220.00027,9819.999695,..,1120.000005,680.0000072,136380.0049,620.0000048,1399.999976,2319.999933,119.9999973,1549.999952,2609.999895,386000,140.0000006,7179.999828,..,9600.000381,1769.999981,37470.00122,1570.000052,8300.000191,2130.000114,79.99999821,2789.999962,167429.9927,..,31540.00092,4059.999943,699.9999881,92239.99786,8369.999886,..,34369.99893,29969.99931,102330.0018,219.9999988,5409.999847,3609.999895,3779.999971,27729.99954,71569.99969,287320.0073,65599.99847,..,32500,93739.99786,1565339.966,560.0000024,170.0000018,..,59.99999866,272250,4579.999924,48580.00183,349.999994,500,41290.00092,..,38069.99969,15520.00046,259.9999905,569.9999928,331320.0073,670.0000167,312750,11390.00034,230.0000042,430.0000072,..,230.0000042,7710.000038,1120.000005,54020.00046,43569.99969,44270.00046,2130.000114,3569.999933,184240.0055,170.0000018,1340.000033,100.0000015,12680.00031,21709.99908,208110.0006,41409.99985,..,9.999999776,1490.00001,303940.0024,99150.00153,530789.978,5593029.785,4530.00021,129889.9994,79.99999821,140750,66500,..,..,16090.00015,1919.999957,12489.99977,404210.0071,141659.998,1024786.769,31600.00039,706180.0017,4089880.379,7058162.003,4672683.836,4601490.084,2684259.985,6587362.726,2604208.476,3005260.996,3411189.987,541254.7883,87950.00046,13108305.98,10832730.09,11378117.26,358219.9989,185673.625,544500.9909,7386763.535,1273393.088,1037720.011,1224410.01,121540.0003,10867159.74,164069.9977,2894542.77,1448922.053,881603.4541,872110.0048,10703093.22,6119407.645,..,12793539.7,106209.6894,2099.999981,12227502.77,265410.0014,139945.1087,1131280.015,1131280.015,545870.0052,545520.0052,545870.0052,7809102.082
2003,1220.000029,4070.000172,88190.00244,..,529.9999714,16760.00023,409.9999964,127660.0037,3500,..,352579.9866,74459.99908,28569.99969,2380.000114,17940.00053,28629.99916,1379.999995,52700.00076,115500,509.9999905,2440.000057,..,259.9999905,9079.999924,14869.99989,3920.000076,310809.9976,..,5519.999981,47930.00031,1039.999962,159.9999964,310.0000024,2380.000114,5210.000038,544539.978,..,230.0000042,449.9999881,..,50200.00076,4415910.156,56110.00061,140.0000006,2000,3230.000019,5800.000191,5309.999943,21610.00061,25629.99916,..,7829.999924,122769.9966,59229.99954,409.9999964,140.0000006,18729.99954,24659.99985,133020.0043,6510.000229,5010.000229,689.9999976,16940.00053,629.9999952,5019.999981,..,1049.999952,71709.99908,376709.9915,..,6440.000057,300.0000119,3160.000086,836789.978,7139.999866,..,100220.0012,..,250,..,10539.99996,1700.000048,189.9999976,1620.000005,1809.999943,6730.000019,..,58189.99863,2230.000019,1011770.02,333890.0146,389769.989,81279.99878,44090.00015,..,62930.00031,462200.0122,10590.00015,1214949.951,17309.99947,146139.9994,6530.00021,39.99999911,72739.99786,465700.0122,..,58119.99893,5590.000153,1149.999976,7590.000153,17409.99985,409.9999964,479.9999893,48919.99817,230.0000042,11229.99954,10239.99977,..,1549.999952,750,144490.0055,529.9999714,1399.999976,2609.999895,109.9999994,1480.000019,2750,404690.0024,159.9999964,7769.999981,..,9310.00042,1889.999986,37250,1899.999976,10489.99977,2269.999981,70.0000003,3019.999981,170360.0006,..,33400.00153,4559.999943,759.9999905,101000,9140.000343,..,37169.99817,31700.00076,105660.0037,219.9999988,5530.00021,4079.999924,3940.000057,27159.99985,73629.99725,297730.011,60520.00046,..,34740.00168,98139.99939,1610000,550.0000119,170.0000018,..,70.0000003,284829.9866,4489.999771,52150.00153,340.0000036,550.0000119,38159.99985,..,38330.00183,15409.99985,270.0000107,579.9999833,353089.9963,750,318660.0037,12409.99985,230.0000042,449.9999881,..,230.0000042,7929.999828,1230.000019,55200.00076,44840.00015,44380.00107,2180.000067,3759.99999,191929.9927,170.0000018,1830.000043,119.9999973,15449.99981,21500,219160.0037,46349.99847,..,9.999999776,1570.000052,330230.011,103819.9997,543039.978,5658990.234,4489.999771,121910.0037,90.00000358,135770.0043,70900.00153,..,..,18700.00076,2079.999924,10180.00031,426379.9968,150990,1055755.859,34870.00008,735870.0085,4258125.845,7756963.984,5333394.351,5260640.168,2741399.987,6798985.531,2712975.673,3130155.122,3502199.994,547359.6607,91999.99929,13342351.41,11715600.21,12273401.42,360400.0078,195757.1363,556735.0592,8114794.644,1294382.858,1059440.003,1245890.009,132569.9995,11748622.01,171499.9994,3020892.791,1501807.748,907916.7954,898139.9938,11577130.8,6205586.656,..,13020410.14,114226.0864,2309.99996,12440090.36,266919.999,151446.7628,1163500.022,1163500.022,577369.9969,577029.9968,577369.9969,8556613.27
2004,1029.999971,4250,89489.99786,..,560.0000024,17450.00076,400.000006,141380.0049,3759.99999,..,365809.9976,75800.00305,28309.99947,2250,17930.00031,30530.00069,1360.000014,56040.00092,114019.9966,439.9999976,2650.000095,..,289.9999917,9489.999771,15569.99969,3970.000029,328519.989,..,5099.999905,47270.00046,1059.999943,150.000006,330.0000131,2380.000114,5119.999886,536419.9829,..,230.0000042,449.9999881,..,54970.00122,5124819.824,56110.00061,150.000006,1940.000057,3519.999981,5940.000057,5469.99979,21100.00038,25360.00061,..,7780.00021,123440.0024,53729.99954,400.000006,159.9999964,17280.00069,26180.00031,144500,6679.999828,6199.999809,680.0000072,17020.00046,629.9999952,5329.999924,..,1470.000029,67680.00031,377790.0085,..,6090.000153,319.9999928,3369.999886,821070.0073,6679.999828,..,99839.99634,..,230.0000042,..,10750,1769.999981,200.000003,1669.999957,1669.999957,7559.999943,..,56349.99847,2319.999933,1085670.044,341239.9902,417660.0037,88110.00061,44689.99863,..,63159.99985,472399.9939,10569.99969,1209849.976,18579.99992,158029.9988,7440.000057,50.00000075,74319.99969,485910.0037,..,61909.99985,5559.999943,1210.000038,7619.999886,17879.99916,430.0000072,560.0000024,48459.99908,230.0000042,11909.99985,11659.99985,..,1649.999976,769.9999809,158270.0043,750,1480.000019,2599.999905,129.9999952,1639.999986,2769.999981,414100.0061,159.9999964,7780.00021,..,9560.00042,2039.999962,40990.00168,1909.999967,10149.99962,2380.000114,70.0000003,2809.999943,172119.9951,..,32840.00015,4530.00021,790.0000215,98730.00336,8840.000153,..,37340.00015,31260.00023,118650.0015,230.0000042,5610.000134,4949.999809,3970.000029,31239.99977,75139.99939,301850.0061,62130.00107,..,37069.99969,95349.99847,1600979.98,560.0000024,189.9999976,..,70.0000003,299890.0146,5389.999866,56349.99847,379.9999952,529.9999714,39619.99893,..,37430.00031,15699.99981,310.0000024,579.9999833,379989.9902,949.9999881,335559.9976,12869.99989,239.9999946,449.9999881,..,250,8829.999924,1389.999986,53590.00015,45279.99878,46360.00061,2599.999905,5079.999924,210190.0024,200.000003,1779.999971,129.9999952,16100.00038,22479.99954,224600.0061,49369.99893,..,9.999999776,1629.999995,307140.0146,110010.0021,543080.0171,5738290.039,5460.000038,124839.9963,70.0000003,139610.0006,85050.00305,..,..,19629.99916,2109.999895,9770.000458,457599.9913,150990.0027,1112584.544,35510.00002,735040.0066,4487233.763,8586193.03,6100326.114,6025979.824,2754819.999,6805126.372,2712364.372,3130365.452,3507500.005,560441.5304,97029.99879,13485505.86,12689549.87,13272981.19,376110.0014,205498.1504,582206.7868,8925924.01,1351871.284,1105920.001,1302950.003,139789.9997,12738925.46,177599.999,3163010.24,1585737.743,964930.7514,954540.0013,12561342.14,6276790.061,..,13149420.03,117807.8769,2820.000021,12526646.11,278550.0038,156179.785,1252600.046,1252600.046,608589.9939,608209.9939,608589.9939,9398508.241
2005,1549.999952,4030.00021,94190.00244,..,579.9999833,15810.00042,409.9999964,145990.0055,4460.000038,..,370089.9963,76239.99786,30040.00092,2109.999895,20690.00053,32709.99908,1419.999957,56779.99878,110610.0006,469.9999988,2900.000095,..,319.9999928,10050.00019,16229.99954,4280.00021,331690.0024,..,4989.999771,47990.00168,1059.999943,150.000006,439.9999976,2660.000086,5019.999981,549030.0293,..,219.9999988,479.9999893,..,55970.00122,5824629.883,57639.99939,150.000006,2210.000038,4309.999943,6269.999981,5880.000114,21450.00076,26319.99969,..,7900.000095,119989.9979,50200.00076,430.0000072,159.9999964,18690.00053,28219.99931,162220.0012,6840.000153,8319.999695,600.0000238,17229.99954,660.0000262,5050.000191,..,1289.999962,55459.99908,380660.0037,..,6059.999943,330.0000131,4239.999771,802380.0049,7039.999962,..,101949.9969,..,250,..,11529.99973,1830.000043,209.9999934,1480.000019,1700.000048,6969.99979,..,55919.99817,2289.999962,1136469.971,342149.9939,450790.0085,85129.99725,46650.00153,..,61009.99832,473829.9866,10560.00042,1212819.946,19870.00084,169210.0067,8319.999695,70.0000003,77589.99634,481000,..,69910.00366,5300.000191,1259.99999,7710.000038,17280.00069,430.0000072,670.0000167,52990.00168,230.0000042,12829.99992,11909.99985,..,1710.000038,759.9999905,167419.9982,720.0000286,1649.999976,2630.000114,140.0000006,1509.99999,2960.000038,432190.0024,159.9999964,8180.000305,..,11060.00042,2000,43580.00183,1710.000038,10720.00027,2529.999971,70.0000003,3190.000057,167929.9927,..,34229.99954,4340.000153,759.9999905,98720.00122,9229.999542,..,36349.99847,31010.00023,121669.9982,259.9999905,7119.999886,4929.999828,3700.000048,31290.00092,76669.99817,301350.0061,65470.00122,..,38540.00092,94709.99908,1611979.98,550.0000119,209.9999934,..,79.99999821,315290.0085,5670.000076,50689.99863,379.9999952,449.9999881,36900.00153,..,38520.00046,15920.00008,340.0000036,579.9999833,377649.9939,910.0000262,350500,13979.99954,219.9999988,439.9999976,..,250,10500,1690.000057,50209.99908,45849.99847,57220.00122,2470.000029,5659.999847,217770.0043,209.9999934,1750,129.9999952,17590.00015,22969.99931,235000,50590.00015,..,9.999999776,2019.999981,295410.0037,116459.9991,540919.9829,5753490.234,5420.000076,119190.0024,70.0000003,147380.0049,92370.00275,..,..,21110.00061,2289.999962,10510.00023,458459.9946,155280.001,1188503.621,37050.00049,733620.0037,4678233.73,9349823.127,6832227.72,6754599.881,2746329.985,6798745.078,2728718.524,3145922.116,3488149.989,588420.5151,101850.0004,13527970.56,13595019.87,14197332.51,375710.0015,224688.054,600924.1992,9707076.365,1396987.128,1138730.011,1346520.017,146940.0008,13657118.54,195919.9984,3275838.066,1691177.652,1038968.028,1027780.016,13461211.69,6304609.522,..,13187620.17,125192.1897,2749.999942,12521871.73,282009.9983,165034.1517,1310609.968,1310609.968,613739.9956,613359.9956,613739.9956,10185333.66
2006,1759.99999,4010.000229,99809.99756,..,550.0000119,16559.99947,439.9999976,154899.9939,4489.999771,..,375489.9902,74099.99847,30489.99977,2099.999905,22489.99977,35900.00153,1470.000029,59119.99893,108650.0015,509.9999905,3470.000029,..,319.9999928,11229.99954,17909.99985,4090.000153,335619.9951,..,7519.999981,48950.00076,1240.00001,180.0000072,500,2960.000038,5090.000153,540530.0293,..,230.0000042,509.9999905,..,57150.00153,6437470.215,57689.99863,170.0000018,2279.999971,4780.00021,6559.999943,5699.999809,21610.00061,26780.00069,..,8000,120599.9985,58130.00107,430.0000072,170.0000018,20370.00084,30129.99916,170750,7239.999771,9369.999886,519.9999809,15979.99954,649.9999762,5400.000095,..,1379.999995,67019.99664,371549.9878,..,5440.000057,360.0000143,4699.999809,814409.9731,8510.000229,..,100699.9969,..,259.9999905,..,11520.00046,1899.999976,219.9999988,1330.000043,1720.000029,7969.99979,..,55459.99908,2329.999924,1215209.961,364470.0012,484179.9927,82959.99908,47259.99832,..,64330.00183,466649.9939,12060.00042,1189520.02,20170.00008,185300.0031,9300.000191,70.0000003,78940.00244,487850.0061,..,72430.00031,5320.000172,1639.999986,8199.999809,16229.99954,430.0000072,689.9999976,52919.99817,230.0000042,13020.00046,11720.00027,..,1639.999986,779.9999714,174100.0061,870.0000048,1889.999986,2650.000095,140.0000006,1730.000019,3299.999952,448299.9878,140.0000006,7980.000019,..,12420.00008,2180.000067,45000,1860.000014,9970.000267,2529.999971,50.00000075,2619.999886,163699.9969,..,34270.00046,4550.000191,750,88769.99664,9220.000267,..,37200.00076,39189.99863,132479.9957,250,7489.999771,4780.00021,3950.000048,30840.00015,69470.00122,314089.9963,60450.00076,..,43770.00046,99260.00214,1654849.976,550.0000119,200.000003,..,79.99999821,335440.0024,5570.000172,53009.99832,389.9999857,589.9999738,37169.99817,..,37869.99893,16290.00092,340.0000036,579.9999833,379790.0085,1000,341779.9988,12399.99962,230.0000042,479.9999893,..,250,12899.99962,1529.999971,48900.00153,45479.99954,60209.99908,2690.000057,6050.000191,219880.0049,200.000003,1570.000052,150.000006,20059.99947,23899.99962,261079.9866,51919.99817,..,9.999999776,2400.000095,303989.9902,121559.9976,542059.9976,5653080.078,6329.999924,127360.0006,70.0000003,147529.9988,94870.00275,..,..,21920.00008,2180.000067,9829.999924,465440.0082,148879.9972,1251799.659,40889.99981,751329.9971,4932609.923,10010057.89,7474038.208,7395030.232,2729999.943,6920008.6,2840501.926,3275143.554,3496999.943,582173.6506,110930.0002,13470500.38,14524470.11,15151121.41,385629.9936,238972.1898,625111.2995,10450322.5,1440012.061,1175959.976,1388409.975,156140.0015,14590704.82,205050.0014,3448277.458,1788650.495,1090219.898,1078479.986,14385672.53,6195663.262,..,13119450.04,134713.5373,2800.00001,12408421.29,277749.9955,178451.0716,1401559.958,1401559.958,614320.0054,613930.0054,614320.0054,10937246.64
2007,1769.999981,4139.999866,102750,..,540.0000215,16969.99931,460.0000083,162809.9976,5199.999809,..,385750,71239.99786,27629.99916,2119.999886,23000,37990.00168,1480.000019,57650.00153,104589.9963,529.9999714,4000,..,319.9999928,12079.99992,18889.99939,4320.000172,352559.9976,..,7139.999866,52599.99847,1409.999967,180.0000072,460.0000083,3660.000086,6130.000114,571630.0049,..,239.9999946,500,..,64569.99969,6993180.176,59180.00031,109.9999994,2470.000029,4150.000095,7599.999905,5659.999847,22879.99916,27680.00031,..,8310.00042,123620.0027,53409.99985,469.9999988,180.0000072,20629.99916,30639.99939,183399.9939,7630.000114,8539.999962,509.9999905,19979.99954,660.0000262,5960.000038,..,1259.99999,65099.99847,362829.9866,..,4940.000057,409.9999964,5630.000114,783799.9878,9119.999886,..,104309.9976,..,280.0000012,..,12409.99985,1980.000019,230.0000042,1610.000014,2049.999952,8539.999962,..,53849.99847,2380.000114,1336739.99,379959.9915,514140.0146,76650.00153,46360.00061,..,66599.99847,459369.9951,12020.00046,1225069.946,21090.00015,198389.9994,9369.999886,59.99999866,65629.99725,503690.0024,..,70599.99847,6469.99979,1730.000019,8529.999733,15039.99996,439.9999976,639.9999857,49389.99939,200.000003,13210.00004,11109.99966,..,1720.000029,829.9999833,189940.0024,870.0000048,2069.999933,2720.000029,140.0000006,1990.00001,3400.000095,457119.9951,140.0000006,8140.000343,..,13020.00046,2099.999905,46349.99847,2230.000019,10390.00034,2619.999886,39.99999911,2690.000057,164550.0031,..,33270.00046,4699.999809,819.9999928,81120.00275,9699.999809,..,37750,42259.99832,146259.9945,239.9999946,7480.000019,5050.000191,3720.000029,33810.00137,73220.00122,313380.0049,58799.99924,..,49830.00183,96730.00336,1658150.024,579.9999833,200.000003,..,79.99999821,354619.9951,6199.999809,51459.99908,400.000006,500,38290.00092,..,37189.99863,16280.00069,340.0000036,620.0000048,397059.9976,1169.999957,354679.9927,13590.00015,250,479.9999893,..,270.0000107,13960.00004,1409.999967,47139.99939,43540.00092,63599.99847,3269.999981,5909.999847,224589.9963,200.000003,1500,129.9999952,20500,24750,288970.0012,58479.99954,..,9.999999776,2869.999886,312140.0146,131830.0018,530500,5736319.824,5849.999905,122580.0018,109.9999994,142389.9994,105139.9994,..,..,23270.00046,1980.000019,9760.000229,486179.997,142610.0024,1303116.441,41590.00033,758250.0057,5227577.867,10693457.64,8068467.521,8002750.168,2692959.954,6919938.586,2897641.34,3330288.166,3456569.96,564812.2951,118309.9992,13639623.28,15410040.2,16055027.68,387549.9996,255281.0857,643286.7619,11089124.6,1486985.319,1219939.991,1433759.989,166030.0014,15482425.69,199649.996,3668009.248,1871053.373,1133101.687,1120900.007,15282809.83,6310040.887,..,13287269.73,144405.4495,2669.999985,12540878.74,267610.003,188709.3033,1540229.987,1540229.987,628789.9994,628389.9994,628789.9994,11614652.32
