,Year,Cost,Energy Cost,Capacity,Energy Source
89,2001,,Hydropower levelized cost of energy,31053.211,Bioenergy
90,2001,,Hydropower levelized cost of energy,7916.95,Geothermal
91,2001,0.14201893,Onshore wind levelized cost of energy,789860.7419,Hydropower
92,2001,0.14201893,Onshore wind levelized cost of energy,23893.215,Onshore wind energy
93,2001,0.14201893,Onshore wind levelized cost of energy,75.75,Offshore wind energy
94,2001,0.14201893,Onshore wind levelized cost of energy,1092.986,Solar photovoltaic
95,2001,0.14201893,Onshore wind levelized cost of energy,246.0,Concentrated solar power
96,2001,0.14201893,Onshore wind levelized cost of energy,31053.211,Bioenergy
97,2001,0.14201893,Onshore wind levelized cost of energy,7916.95,Geothermal
98,2002,,Bioenergy levelized cost of energy,802741.0449,Hydropower
99,2002,,Bioenergy levelized cost of energy,30493.662,Onshore wind energy
100,2002,,Bioenergy levelized cost of energy,239.75,Offshore wind energy
101,2002,,Bioenergy levelized cost of energy,1437.059,Solar photovoltaic
102,2002,,Bioenergy levelized cost of energy,202.0,Concentrated solar power
103,2002,,Bioenergy levelized cost of energy,32600.863,Bioenergy
104,2002,,Bioenergy levelized cost of energy,8108.15,Geothermal
105,2002,,Geothermal levelized cost of energy,802741.0449,Hydropower
106,2002,,Geothermal levelized cost of energy,30493.662,Onshore wind energy
107,2002,,Geothermal levelized cost of energy,239.75,Offshore wind energy
108,2002,,Geothermal levelized cost of energy,1437.059,Solar photovoltaic
109,2002,,Geothermal levelized cost of energy,202.0,Concentrated solar power
110,2002,,Geothermal levelized cost of energy,32600.863,Bioenergy
111,2002,,Geothermal levelized cost of energy,8108.15,Geothermal
112,2002,0.13536467,Offshore wind levelized cost of energy,802741.0449,Hydropower
113,2002,0.13536467,Offshore wind levelized cost of energy,30493.662,Onshore wind energy
114,2002,0.13536467,Offshore wind levelized cost of energy,239.75,Offshore wind energy
115,2002,0.13536467,Offshore wind levelized cost of energy,1437.059,Solar photovoltaic
116,2002,0.13536467,Offshore wind levelized cost of energy,202.0,Concentrated solar power
117,2002,0.13536467,Offshore wind levelized cost of energy,32600.863,Bioenergy
118,2002,0.13536467,Offshore wind levelized cost of energy,8108.15,Geothermal
119,2002,,Solar photovoltaic levelized cost of energy,802741.0449,Hydropower
120,2002,,Solar photovoltaic levelized cost of energy,30493.662,Onshore wind energy
121,2002,,Solar photovoltaic levelized cost of energy,239.75,Offshore wind energy
122,2002,,Solar photovoltaic levelized cost of energy,1437.059,Solar photovoltaic
123,2002,,Solar photovoltaic levelized cost of energy,202.0,Concentrated solar power
124,2002,,Solar photovoltaic levelized cost of energy,32600.863,Bioenergy
125,2002,,Solar photovoltaic levelized cost of energy,8108.15,Geothermal
126,2002,,Concentrated solar power levelized cost of energy,802741.0449,Hydropower
127,2002,,Concentrated solar power levelized cost of energy,30493.662,Onshore wind energy
128,2002,,Concentrated solar power levelized cost of energy,239.75,Offshore wind energy
129,2002,,Concentrated solar power levelized cost of energy,1437.059,Solar photovoltaic
130,2002,,Concentrated solar power levelized cost of energy,202.0,Concentrated solar power
131,2002,,Concentrated solar power levelized cost of energy,32600.863,Bioenergy
132,2002,,Concentrated solar power levelized cost of energy,8108.15,Geothermal
133,2002,,Hydropower levelized cost of energy,802741.0449,Hydropower
134,2002,,Hydropower levelized cost of energy,30493.662,Onshore wind energy
135,2002,,Hydropower levelized cost of energy,239.75,Offshore wind energy
136,2002,,Hydropower levelized cost of energy,1437.059,Solar photovoltaic
137,2002,,Hydropower levelized cost of energy,202.0,Concentrated solar power
138,2002,,Hydropower levelized cost of energy,32600.863,Bioenergy
139,2002,,Hydropower levelized cost of energy,8108.15,Geothermal
140,2002,0.13127674,Onshore wind levelized cost of energy,802741.0449,Hydropower
141,2002,0.13127674,Onshore wind levelized cost of energy,30493.662,Onshore wind energy
142,2002,0.13127674,Onshore wind levelized cost of energy,239.75,Offshore wind energy
143,2002,0.13127674,Onshore wind levelized cost of energy,1437.059,Solar photovoltaic
144,2002,0.13127674,Onshore wind levelized cost of energy,202.0,Concentrated solar power
145,2002,0.13127674,Onshore wind levelized cost of energy,32600.863,Bioenergy
146,2002,0.13127674,Onshore wind levelized cost of energy,8108.15,Geothermal
