,Name of the initiative,Type,Jurisdiction covered,Year,GHG emissions covered [MtCO2e],Proportion of global GHG emissions covered,"Government income, previous year",Value,Value 1,Value 2
76,Saitama ETS,ETS,Saitama,2011,8.16,0.02,0.0,0.127804419,-0.4800912455754786,0.2053323099904052
78,Saskatchewan OBPS,ETS,Saskatchewan,2019,10.231,0.02,0.0,0.408847506,-0.4104862897228646,-0.7329368088600084
81,Shanghai pilot ETS,ETS,Shanghai,2013,78.482705,0.15,0.003395295,1.4657514,-0.2791841688708243,-0.022392310640183488
83,Shenzhen pilot ETS,ETS,Shenzhen,2013,13.1718,0.03,0.0,0.020179279,-0.45738529748883683,-0.03286047677559346
84,Singapore carbon tax,Carbon tax,Singapore,2019,56.41688507,0.11,0.152977296,0.141006929,-0.3184701507950222,-0.7456074127536378
85,Slovenia carbon tax,Carbon tax,Slovenia,1996,10.64899126,0.02,0.145187339,0.081728039,-0.5899830416500661,1.971387989278658
86,South Africa carbon tax,Carbon tax,South Africa,2019,459.1671443,0.90,0.093928681,0.119524906,0.5528850076813707,-0.820775088083316
87,Spain carbon tax,Carbon tax,Spain,2014,6.231775,0.01,0.077364,0.121572,-0.4656293794662306,-0.14750861333098206
88,Sweden carbon tax,Carbon tax,Sweden,1991,25.83529432,0.05,2.267025456,2.4347209,-0.5268754206853348,2.593720115218733
89,Switzerland ETS,ETS,Switzerland,2008,5.059056761,0.01,0.01753057,0.28901093,-0.506620265714747,0.5619713134376865
90,Switzerland carbon tax,Carbon tax,Switzerland,2008,15.74989369,0.03,1.261768207,1.268261011,-0.45604405417465615,0.5750821360442193
95,Tianjin pilot ETS,ETS,Tianjin,2013,53.056773,0.10,0.011898471,0.72655218,-0.35541329525941623,-0.02902336739424088
96,Tokyo CaT,ETS,Tokyo,2010,13.26,0.03,0.0,0.053469722,-0.4785922195923265,0.3210419125350717
98,UK Carbon Price Support,Carbon tax,United Kingdom,2013,97.38434524,0.19,0.6899025,0.904572539,-0.2526712486365646,-0.0346689100254395
99,UK ETS,ETS,United Kingdom,2021,129.8457937,0.25,5.663799247,12.56197732,0.2078460394080712,-0.803746807012418
101,Ukraine carbon tax,Carbon tax,Ukraine,2011,197.4845544,0.39,0.040454761,0.042386062,-0.07338986218062377,0.16890460827421658
